token,name,title,xpos,ypos,continue,modal,exitscript,script,text
#,SHIPDESIGN,Ship Design Screen,32,32,1,1,LaunchTutorial(SHIPDESIGN2);,,"Welcome to the ship design screen. This is where you put together your own custom ship designs from modular components. In GSB, YOU are the spaceship designer, so you start off with only a few sample ships as examples. The rest of the designs will be put together by you, and saved for use in your fleets."
#,SHIPDESIGN2,Module Types,32,32,1,1,LaunchTutorial(SHIPDESIGN3);,,"Ships in GSB are made up of a hull, and a number of different modules. There are two types of module slots on a ship. A hexagonal turret slot can accept weapons turrets or normal modules. A square slot can only accept normal modules. This restricts the number of weapons each ship can carry. You can change the module in a slot by clicking and dragging it away, and then dragging a suitable module from the left hand module picker onto the appropriate slot."
#,SHIPDESIGN3,Module Picker,500,32,1,1,LaunchTutorial(SHIPDESIGN4);,CancelHighlight();Highlight(SHIPDESIGN_MODULEPICKER);,"You can select different categories of ship module by clicking the buttons at the top of the module picker. The modules that are shown are automatically filtered to fit the current selected size of ship hull. The three sizes are fighter, frigate and cruiser and the ship modules are not interchangeable between them. Cruiser modules are far bigger and more expensive than frigate modules, which are in turn bigger than fighter modules."
#,SHIPDESIGN4,Module Details,32,32,1,1,LaunchTutorial(SHIPDESIGN5);,CancelHighlight();Highlight(SHIPDESIGN_MODULEDETAILS);,"The panel in the bottom left shows you information on the currently selected ship module. The data that is shown is different depending on the module type. Every module has a different weight and cost, and many of them have power or crew requirements. A ship design is only valid if all the crew and power requirements are accounted for by power and crew modules."
#,SHIPDESIGN5,Design Summary,32,32,1,1,LaunchTutorial(SHIPDESIGN6);,CancelHighlight();Highlight(SHIPDESIGN_SUMMARY);,"The panel on the top right shows summary information about the current ship. You can create a new ship design simply by saving out the current design with a new name. The change button allows you to change the base hull of this ship, which may give you a different number of module slots. You need to save each ship design that you may want to use in your fleets."
#,SHIPDESIGN6,Blueprint,32,32,1,1,CancelHighlight();,CancelHighlight();Highlight(SHIPDESIGN_BLUEPRINT);,"This panel shows the layout of your ship. The positioning of modules has little strategic relevance, although the weapons turrets will be at the locations where you place them. Some slots have a number of linked hull-locations and collectively form a 'battery', but this does NOT affect their performance except visually. You can toggle from blueprint to physical view with the button in the top right corner."
***Misc,,,,,,,,,
#,OPTIONS,Options,32,32,1,1,,,"This screen lets you fiddle with the screen size and sound settings, as well as turn on or off various visual effects. Turning them off will make the game less gratuitous, but depending on your video card and the screen resolution, combined with the size of the battles, it may improve performance on your PC."
#,ONLINE,Online,32,32,1,1,,,"This is where you register your copy of the game online and pick your online username. This is all optional, but doing so will let you 'challenge' other players with your fleets, download challenges from other players, and keep up to date with new content for the game. Do not share your code with anyone else, or it may be disabled. This is the only place you ever need to enter the registration code."
#,CHALLENGES,Challenges,32,32,1,1,,,"This screen lists the current challenges that await you online. As you can see, enemy admirals have taunted you and sit on their flagships laughing at your fleet. You need to show them who is boss. Clicking 'fight' on a challenge will download the data and take you to that specific mission. You might need to try and beat a challenge several times."
#,MODULEEFFECTIVENESS,Module Effectiveness,32,32,1,1,,,The module you just added to the ship has reduced effectiveness when more than one of them is used on a single ship. You can see the effectiveness of any module from the popup message when hovering the mouse over a slot on the ship.
#,CHANGERACE,Change Race,32,32,1,1,,,"At the start of the game you can only play as the Federation. As you win battles and earn honor you can unlock other races to fight as. Different races have different ship hulls and a few race-specific weapons, plus they each have certain advantages in battle."
#,CHANGED_DIFFICULTY,Changed Difficulty,32,32,1,1,,,"You just changed the difficulty setting for this battle, which means you are up against a different enemy fleet. As the difficulty goes higher, the odds against you go higher too."
#,HULLPICKER,Hull Chooser,32,32,1,1,CancelHighlight(),CancelHighlight();Highlight(HULLPICKER);,"This is where you browse through the various ship hulls available to you at present. When you unlock other races, you will have more options. Each ship hull has different bonuses, and will suit specific roles in battle."
#,POSTMORTEM,Post Mortem,32,32,1,1,,,"The battle is over. Battles are not fought to the last life-form, but decided once the outcome is clear. If you are the victor, you will have been awarded honor for your victory, which is spent at fleet HQ"
#,STATISTICS,Statistics,32,32,1,1,,,"This shows you information about how your fleet fared in battle. Selecting a ship icon on the left will show you more information about how they fought on the right, If victory eluded you this day, you can use this to see why. Maybe some of your ships had too weak shields, or moved too slowly to evade enemy fire?"
#,UNLOCK_SHOP,Fleet HQ,32,32,1,1,,,"When you win battles, you earn honor, depending on how large and costly a fleet you needed in order to secure victory. Here at the fleet HQ, you can trade in that honor for access to restricted specialist equipment, to be used in your ship designs from that point onwards."
#,NEWBATTLESTATS,Battle Statistics,32,32,1,1,,,"This screen lets you analyze how your fleet did during the battle. The tab buttons along the top allow you to select different views, and the key at the bottom lets you include or exclude different groups of data. You can also filter which ships or modules are included in the graphs by clicking their icons on and off."

#,SURVIVAL,Survival!,32,32,1,1,,,"This is a 'survival' battle, which means that ultimately, defeat is certain. There are a never-ending number of enemy ships that will attack you in waves from all angles. See if you can keep your fleet alive longer than anyone else…"

#,SUPPLYLIMITS_CHOOSE,Supply Limits,32,32,1,1,CancelHighlight();,Highlight(SCENARIO_SUPPLYLIMITS_BUTTON);,This mission comes with 'supply limits' which are restrictions of the number of certain ship modules available for that battle. Clicking the supply limits button will show you which modules are limited in number and how many are available.
#,SUPPLYLIMITS_DEPLOY,Supply Limit Viewer,32,32,1,1,CancelHighlight();,Highlight(SUPPLYLIMITS);,This window shows the supply limits in place for this battle and your current usage of limited modules. A feint progress bar behind each module shows what percentage of the limit has been used up (if it's red you have used more than is available). Clicking on a module will select those ships that are currently using that module.

#,BEATAGAIN,Raise Your Honor!,32,32,1,1,,,"Although you have beaten an enemy fleet once, you will earn more honor if you can beat the same fleet again, but with a smaller fleet. The less money you spend on constructing a fleet the more honor you can earn from a battle."


,BATTLE1,Battle!,200,32,,1,BATTLE2,,"This is the battle! Here you will see just how your fleet does against it's enemies. The battle will end once one fleet is close to destruction. The relative strengths of both fleets are shown at the top corners of the screen. Green means your side is winning, red is losing, and your fleet is on the left. You can speed up and slow down time, and pause the game using the buttons by the minimap at the bottom left of the screen"
,BATTLE2,Controls,32,32,,1,BATTLE3,,"You can also move around the map using the arrow keys on the keyboard, clicking in the mini-map, or by clicking and dragging empty space. You can toggle the user interface on and off using the 'U' key, and you can take a screenshot just by hitting the PrintScreen key on your keyboard (saved in MyDocuments\MyGame\Gratu...)"
,BATTLE3,Status,32,32,,1,BATTLE4,,"Clicking on any of your ships during battle will show you details on their current status. You will have to assess the status of enemy ships visually. If you want a closer look, you can use the mouse wheel to zoom the camera in and out. (or the page up and down keys)"
