token,name,title,xpos,ypos,continue,modal,exitscript,script,text
#,FIGHTBATTLE,战斗！,-1,-1,,,CancelHighlight();AllowButtons();,AllowButton(fightbattle);CancelHighlight();Highlight(fightbattle);,"是时候看看你的舰队能否打赢这场战斗了，点击战斗按钮看看战果究竟如何？
***Design screen,,,,,,,,,
#,SHIPDESIGN,船舰设计视图,32,32,1,1,LaunchTutorial(SHIPDESIGN2);,,"欢迎来到船舰设计视图。在这里你可以依靠模块的搭配将自定义的船舰组合到一起。在GSB中，『你』就是太空船的设计师，因此在一开始只有少量简单的船舰作为样本。其余的设计将由你亲手组合在一起，再保存以便应用于你的舰队中。"
#,SHIPDESIGN2,模块类型,32,32,1,1,LaunchTutorial(SHIPDESIGN3);,,"GSB中的飞船是由船身和各种不同的模块组合而成的。每艘飞船有两种模块的槽位。六边形的炮塔槽位可以容纳炮塔和普通模块。正方形槽位则只能容纳普通模块。这就限制了每艘船所能携带武器的数量。要更换模块，你可以点击并将模块拖出槽位，再将左手边的模块选择器中合适的模块拖到适当的槽位上。"
#,SHIPDESIGN3,模块选择器,500,32,1,1,LaunchTutorial(SHIPDESIGN4);,CancelHighlight();Highlight(SHIPDESIGN_MODULEPICKER);,"你可以通过点击模块选择器上方的按钮来选择不同类别的飞船模块。所显示的模块会自动过滤以适应当前所选船身的尺寸。三种不同的尺寸分别为战斗机，护卫舰和巡洋舰，它们的飞船模块无法通用。巡洋舰的模块要比护卫舰模块大的多而且更昂贵，后者又比战斗机模块要大。"
#,SHIPDESIGN4,模块细节,32,32,1,1,LaunchTutorial(SHIPDESIGN5);,CancelHighlight();Highlight(SHIPDESIGN_MODULEDETAILS);,"左下方的面板显示了当前选中的飞船模块的信息。显示的数据根据模块类型而不同。每个模块的重量和价格都不一样，其中很多模块都有动力及船员数的要求。一个飞船的设计方案只有在动力及船员模块满足了所有船员及动力要求后才能有效。"
#,SHIPDESIGN5,设计概要,32,32,1,1,LaunchTutorial(SHIPDESIGN6);,CancelHighlight();Highlight(SHIPDESIGN_SUMMARY);,"右上方的面板显示当前飞船的概要信息。你只需要将当前设计存储为一个新名字就可以创建新的飞船设计了。改变按钮允许你更换这艘飞船的基础船体，这样你的模块槽位数量可能会发生变化。你需要保存所有可能要用在舰队当中的飞船设计。"
#,SHIPDESIGN6,设计图,32,32,1,1,CancelHighlight();,CancelHighlight();Highlight(SHIPDESIGN_BLUEPRINT);,"此面板显示了你飞船的设计布局。各种模块摆放位置与战略关系并不大，不过实战中武器炮塔会在你摆放的那个位置上。有的槽位有若干条连向船身其他位置的链接，并共同组成一枚‘电池’，但除了视觉方面外对其实际效果并『无』影响。你可以通过右上方的按钮在设计图及自然外观之间切换。"
***Misc,,,,,,,,,
#,OPTIONS,选项,32,32,1,1,,,"此视图允许你调整屏幕大小和声音设置，还可以打开或关闭各种视觉效果。关闭这些选项将使本游戏不那么无厘头，但这与你的显卡还有屏幕分辨率有关，同时还取决于战斗的规模，它或许能提高游戏在你电脑上的运行效果。"
#,ONLINE,在线游戏,32,32,1,1,,,"在这里你可以在线注册自己的游戏版本，并选择你的线上用户名。这些都是可以随意选择的，不过这样你可以用自己的舰队向其他玩家‘挑战’，从其他玩家处下载挑战，并时刻保持新游戏内容的更新。不要将你的注册码告诉其他人，否则可能会导致密码无效。这里是唯一需要你填入注册码的地方。"
#,CHALLENGES,挑战,32,32,1,1,,,"本画面列出了当前在线等你的挑战。如你所见，敌人的舰队司令正在辱骂你坐在他们的旗舰里嘲笑你的舰队。你要让他们见识一下谁才是老大。点击一个挑战上的‘交战’将会下载数据并将你带到这个特殊的任务中。你或许要尝试几次才能赢得一次挑战。"
#,MODULEEFFECTIVENESS,模块效率,32,32,1,1,,,当某一模块在同一个飞船设计中的使用次数多于一次时，你添加的模块效率就会降低。将鼠标置于任何一个飞船槽位的上方你就可以查看该模块的效率。
#,CHANGERACE,改变种族,32,32,1,1,,,"游戏刚开始时你只能用联邦进行游戏。随着你赢得战斗并获得荣誉点数你可以解锁其他的种族并选择用来战斗。不同的种族拥有不同的船体还有一些种族特有的武器，此外他们在战斗中也各有各的特定优势。"
#,CHANGED_DIFFICULTY,改变难度,32,32,1,1,,,"你刚刚修改了本战役的难度，这意味着你要对抗另一支不同的敌人舰队。随着难度的提升，对抗你的力量也会随之提高。"
#,HULLPICKER,船身选择器,32,32,1,1,CancelHighlight(),CancelHighlight();Highlight(HULLPICKER);,"在这里你可以浏览查看目前可选的各种船身。当你解锁其他的种族时，你将获得更多的选择。每种船身都有不同的优势奖励，从而适宜在战斗中扮演特定的角色。"
#,POSTMORTEM,战斗结束,32,32,1,1,,,"战斗结束了。战斗并非要打到只剩下最后一个，而是由战果的达成来判断的。如果你是获胜者，你将从你的胜利中获得荣誉点数的奖励，可以在舰队总部消费这些点数。"
#,STATISTICS,统计图表,32,32,1,1,,,"此画面显示了你的舰队在战斗中的数据信息。在左侧选择一艘飞船的图标可以在右侧显示出更多关于它们如何战斗的信息，如果今天你没能取得胜利，你可以根据它判断失败的原因。也许是你的某些飞船护盾太脆弱了，也可能是飞得太慢无法躲避敌人的攻击？"
#,UNLOCK_SHOP,舰队总部,32,32,1,1,,,"当你赢得战斗时，你会获得荣誉，这取决于你需要多大规模以及多大开销的舰队来确保自己的胜利。在舰队总部，你可以用荣誉来交易获得限制版的特殊装备，从此将其用于你的新飞船设计中。"
#,NEWBATTLESTATS,战果统计图,32,32,1,1,,,"在这个视图中你可以分析自己的舰队是如何打这场战斗的。上方的一列标签按钮允许你选择不同的视点，而下方的按钮允许你包含或者排除不同的数据组。你还可以通过点击图标打开或是关闭来滤哪些飞船或模块被包含在图表中。"

#,SURVIVAL,生存！,32,32,1,1,,,"这是一个‘生存’战役，就是说最终，失败是肯定的。会有无穷无尽的敌人飞船一波又一波从各个不同的角度向你的舰队进攻。看看你能否让自己的舰队比其他人存活的更久？

#,SUPPLYLIMITS_CHOOSE,限量补给,32,32,1,1,CancelHighlight();,Highlight(SCENARIO_SUPPLYLIMITS_BUTTON);,此任务有‘补给限制’即此战役可用的特定飞船模块有数量限制。点击补给限制按钮将显示哪种模块有数量限制以及有多少可用。
#,SUPPLYLIMITS_DEPLOY,Supply Limit Viewer,32,32,1,1,CancelHighlight();,Highlight(SUPPLYLIMITS);,此窗口显示了本战役限量补给的安置（？？？）及当前限制模块的使用情况。每种模块后面半透明的进度条表示模块已使用的百分比（如果呈红色表示你使用的数量超过了可用数）。点击一个模块可选中目前装备了该模块的飞船。

#,BEATAGAIN,提升你的荣誉！,32,32,1,1,,,"尽管你已经将敌人的舰队击败了一次，如果你能用更少的舰队再次打败同样的敌人你还可以获得更多的荣誉。你用来打造舰队的钱越少你从战斗中获得的荣誉就越多。"


,BATTLE1,战斗！,200,32,,1,BATTLE2,,"这是战争！在这里你将看到自己的舰队是如何与敌人战斗的。战斗将在一方的舰队接近毁灭的时候结束。双方舰队的相对强度显示在屏幕上方的两个角上。绿色表示你方的舰队占优势，红色表示劣势，还有你的舰队在左侧。你可以用屏幕左下方小地图旁边的按钮加速或者减缓时间的流逝，也可以暂停游戏"
,BATTLE2,控制,32,32,,1,BATTLE3,,"你还可以用键盘上的方向键，点击小地图，或者点击并拖动没有单位的空间来移动地图画面。你可以用‘U’键打开或关闭用户界面，你还可以通过按下键盘上的PrintScreen键来截取游戏画面（存储在我的文档\MyGame\Gratu...）"
,BATTLE3,状态,32,32,,1,BATTLE4,,"在战斗中点击你的任意一艘飞船可以显示出它们当前的状态细节。你只能通过目测来估计敌人飞船的状态。如果你想看的更近，可以使用鼠标滚轮来缩放摄像机。（或者用上翻页和下翻页键）"
